Update 1135/2441 | Step 2,324,480 | Episodes 15871 | FPS   2273 | Mean reward     29.0 | LR 1.61e-04 | Time   1023s
Update 1140/2441 | Step 2,334,720 | Episodes 15912 | FPS   2273 | Mean reward     20.1 | LR 1.60e-04 | Time   1027s
Update 1145/2441 | Step 2,344,960 | Episodes 15963 | FPS   2273 | Mean reward     30.5 | LR 1.59e-04 | Time   1032s
Update 1150/2441 | Step 2,355,200 | Episodes 16000 | FPS   2274 | Mean reward     33.0 | LR 1.59e-04 | Time   1036s
   ->  Model saved to checkpoints/ant_ppo_2355200.pt
Update 1155/2441 | Step 2,365,440 | Episodes 16038 | FPS   2274 | Mean reward     39.4 | LR 1.58e-04 | Time   1040s
Update 1160/2441 | Step 2,375,680 | Episodes 16078 | FPS   2274 | Mean reward     44.7 | LR 1.57e-04 | Time   1045s
Update 1165/2441 | Step 2,385,920 | Episodes 16129 | FPS   2274 | Mean reward     38.5 | LR 1.57e-04 | Time   1049s
Update 1170/2441 | Step 2,396,160 | Episodes 16164 | FPS   2274 | Mean reward     37.4 | LR 1.56e-04 | Time   1054s
Update 1175/2441 | Step 2,406,400 | Episodes 16215 | FPS   2275 | Mean reward     22.9 | LR 1.56e-04 | Time   1058s
Update 1180/2441 | Step 2,416,640 | Episodes 16245 | FPS   2275 | Mean reward     53.5 | LR 1.55e-04 | Time   1062s
Update 1185/2441 | Step 2,426,880 | Episodes 16284 | FPS   2275 | Mean reward     43.5 | LR 1.54e-04 | Time   1067s
Update 1190/2441 | Step 2,437,120 | Episodes 16323 | FPS   2276 | Mean reward     34.7 | LR 1.54e-04 | Time   1071s
Update 1195/2441 | Step 2,447,360 | Episodes 16371 | FPS   2276 | Mean reward     29.7 | LR 1.53e-04 | Time   1075s
Update 1200/2441 | Step 2,457,600 | Episodes 16413 | FPS   2276 | Mean reward     45.8 | LR 1.53e-04 | Time   1080s
   ->  Model saved to checkpoints/ant_ppo_2457600.pt
Update 1205/2441 | Step 2,467,840 | Episodes 16462 | FPS   2276 | Mean reward     32.5 | LR 1.52e-04 | Time   1084s
Update 1210/2441 | Step 2,478,080 | Episodes 16519 | FPS   2277 | Mean reward     16.0 | LR 1.51e-04 | Time   1088s
Update 1215/2441 | Step 2,488,320 | Episodes 16581 | FPS   2277 | Mean reward     40.5 | LR 1.51e-04 | Time   1093s
Update 1220/2441 | Step 2,498,560 | Episodes 16628 | FPS   2277 | Mean reward     55.2 | LR 1.50e-04 | Time   1097s
Update 1225/2441 | Step 2,508,800 | Episodes 16673 | FPS   2277 | Mean reward     33.6 | LR 1.49e-04 | Time   1102s
Update 1230/2441 | Step 2,519,040 | Episodes 16729 | FPS   2278 | Mean reward     31.0 | LR 1.49e-04 | Time   1106s
Update 1235/2441 | Step 2,529,280 | Episodes 16771 | FPS   2278 | Mean reward     27.7 | LR 1.48e-04 | Time   1110s
Update 1240/2441 | Step 2,539,520 | Episodes 16812 | FPS   2278 | Mean reward     47.7 | LR 1.48e-04 | Time   1115s
Update 1245/2441 | Step 2,549,760 | Episodes 16861 | FPS   2279 | Mean reward     40.7 | LR 1.47e-04 | Time   1119s
Update 1250/2441 | Step 2,560,000 | Episodes 16909 | FPS   2279 | Mean reward     50.1 | LR 1.46e-04 | Time   1123s
   ->  Model saved to checkpoints/ant_ppo_2560000.pt
Update 1255/2441 | Step 2,570,240 | Episodes 16952 | FPS   2279 | Mean reward     22.4 | LR 1.46e-04 | Time   1128s
Update 1260/2441 | Step 2,580,480 | Episodes 17013 | FPS   2279 | Mean reward     52.9 | LR 1.45e-04 | Time   1132s
